,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,psidt,vx,vy,lat,long,alpha1,alpha2,time,x,y,v_gps,v,alpha
2000,2000,2000,2000,-0.0010993111560555,16.840687470006575,-0.0125405377636439,47.5337104797363,-0.632170498371124,0.0,0.0033161255371773,10.0,-121.62384679615278,106.89537891937132,16.42689295618703,16.840692139206272,0.0016580627685886
2001,2001,2001,2001,0.0027002606925694,16.830692692116607,-0.0128894058937703,47.5337104797363,-0.632178902626038,0.0,0.0026179939820212,10.005,-121.686602417273,106.948251520624,16.411922429026998,16.830697627646085,0.0013089969910106
2002,2002,2002,2002,0.0063710272206342,16.840687470006575,-0.0125405377636439,47.5337104797363,-0.632178902626038,0.0,0.0022689279443688,10.01,-121.74936028103023,107.0010085009484,16.39737593192514,16.840692139206272,0.0011344639721844
2003,2003,2003,2003,0.003186380438043,16.83104153021332,-0.0228833233517524,47.5337104797363,-0.632178902626038,0.0,0.0022689279443688,10.015,-121.81212038358298,107.05365299855352,16.383251936689405,16.831057086180092,0.0011344639721844
2004,2004,2004,2004,-0.0030658362483857,16.83104153021332,-0.0228833233517524,47.5337104797363,-0.632178902626038,0.0,0.0017453292780017,10.02,-121.87488272108943,107.10618815164818,16.369548949136412,16.831057086180092,0.0008726646390008
2005,2005,2005,2005,-0.0015857895440235,16.83104153021332,-0.0228833233517524,47.5337104797363,-0.632178902626038,0.0,0.0017453292780017,10.025,-121.93764728970795,107.15861709844138,16.356265509846292,16.831057086180092,0.0008726646390008
2006,2006,2006,2006,-0.0008697379576007,16.831390368310032,-0.0328772408097347,47.5337104797363,-0.632178902626038,0.0,0.0017453292780017,10.03,-122.00041408559689,107.21094297714195,16.34340019451052,16.8314224783113,0.0008726646390008
2007,2007,2007,2007,-0.0034211266448631,16.831739204096483,-0.0428710920806414,47.5337104797363,-0.632178902626038,0.0,0.0019198621667907,10.035,-122.06318310491454,107.26316892595892,16.33095161456476,16.83179380117445,0.0009599310833953
2008,2008,2008,2008,-0.004176365840496,16.84173398198645,-0.042522223950515,47.5337104797363,-0.632178902626038,0.0,0.0019198621667907,10.04,-122.12595434381925,107.31529808310113,16.31891841757629,16.841787662226565,0.0009599310833953
2009,2009,2009,2009,-0.0024166277946922,16.84173398198645,-0.042522223950515,47.5337104797363,-0.632178902626038,0.0,0.0020943950555798,10.045,-122.1887277984693,107.36733358677748,16.30729928781051,16.841787662226565,0.0010471975277899
2010,2010,2010,2010,-0.00257157357579,16.832088042193195,-0.0528650095386237,47.5337104797363,-0.632178902626038,0.0,0.0022689279443688,10.05,-122.25150346502308,107.41927857519693,16.296092946674296,16.832171059295252,0.0011344639721844
