,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,psidt,vx,vy,lat,long,alpha1,alpha2,time,x,y,v_gps,v,alpha
0,0,0,0,-0.0106851754972106,14.546499956542467,0.0674782189772713,47.5329895019531,-0.630943715572357,0.0,-0.0010471975277899,0.0,0.0050635562179772,-0.008228698699909,11.397916685686884,14.54665646448442,-0.0005235987638949
1,1,1,1,-0.0095239727635034,14.546499956542467,0.0674782189772713,47.5329895019531,-0.630943715572357,0.0,-0.0012217304815975,0.005,-0.0271093673626578,0.038810812432979,11.397916685686884,14.54665646448442,-0.0006108652407987
2,2,2,2,-0.0058625980394704,14.546499956542467,0.0674782189772713,47.5329895019531,-0.630943715572357,0.0,-0.0010471975277899,0.01,-0.0597922699424499,0.0856128848154565,11.416840369094835,14.54665646448442,-0.0005235987638949
3,3,3,3,-0.0064275902654739,14.546499956542467,0.0674782189772713,47.5329895019531,-0.630943715572357,0.0,-0.0010471975277899,0.015,-0.0929801409363792,0.1321816762458315,11.436935107615948,14.54665646448442,-0.0005235987638949
4,4,4,4,-0.0075258940236308,14.556493675439222,0.0678270501431962,47.5329895019531,-0.630943715572357,0.0,0.0005235987638949,0.02,-0.1266679697594258,0.178521344522412,11.458158083731288,14.556651697139465,0.0002617993819474
5,5,5,5,-0.0093214310402245,14.546499956542467,0.0674782189772713,47.5329895019531,-0.630943715572357,0.0,0.0006981316851932,0.025,-0.1608507458265703,0.2246360474435063,11.480466898445068,14.54665646448442,0.0003490658425966
6,6,6,6,-0.0088607686700734,14.546499956542467,0.0674782189772713,47.5329895019531,-0.630943715572357,0.0,0.0006981316851932,0.03,-0.1955234585527926,0.2705299428074222,11.503819608233082,14.54665646448442,0.0003490658425966
7,7,7,7,-0.0080744157426192,14.546848794639182,0.0574843015192891,47.5329895019531,-0.630943715572357,0.0,0.0006981316851932,0.035,-0.2306810973530731,0.3162071884124681,11.52817475938786,14.546962373602833,0.0003490658425966
8,8,8,8,-0.0081312419826761,14.546848794639182,0.0574843015192891,47.5329895019531,-0.630943715572357,0.0,0.0006981316851932,0.04,-0.2663186516423921,0.3616719420569519,11.553491419787791,14.546962373602833,0.0003490658425966
9,9,9,9,-0.0122603104463164,14.546848794639182,0.0574843015192891,47.5329895019531,-0.630943715572357,0.0,0.0003490658425966,0.045,-0.3024311108357298,0.4069283615391817,11.579729208132695,14.546962373602833,0.0001745329212983
10,10,10,10,-0.0124783525993774,14.547546470832607,0.0374964666033246,47.5329895019531,-0.630943715572357,0.0,-0.0005235987638949,0.05,-0.3390134643480665,0.4519806046574658,11.60684832069507,14.547594794537066,-0.0002617993819474
11,11,11,11,-0.0095908160262698,14.557191351632648,0.0478392152272317,47.5329895019531,-0.630943715572357,0.0,-0.0005235987638949,0.055,-0.3760607015943824,0.4968328292101122,11.634809555649507,14.557269958291007,-0.0002617993819474
12,12,12,12,-0.0104805864688437,14.557191351632648,0.0478392152272317,47.5329895019531,-0.630943715572357,0.0,-0.0010471975277899,0.06,-0.4135678119896577,0.541489192995429,11.66357433504827,14.557269958291007,-0.0005235987638949
13,13,13,13,-0.0089133619404133,14.557191351632648,0.0478392152272317,47.5329895019531,-0.630943715572357,0.0,-0.0012217304815975,0.065,-0.4515297849488727,0.5859538538117242,11.693104724519234,14.557269958291007,-0.0006108652407987
14,14,14,14,-0.009059366626285,14.567185070529408,0.0481880463931568,47.5329895019531,-0.630943715572357,0.0,-0.0012217304815975,0.07,-0.4899416098870077,0.6302309694573057,11.723363450768092,14.567264773006288,-0.0006108652407987
15,15,15,15,-0.0117885106532628,14.577178789426158,0.0485368775590816,47.5329895019531,-0.630943715572357,0.0,-0.0003490658425966,0.075,-0.528798276219043,0.6743246977304822,11.754313916971668,14.57725959456643,-0.0001745329212983
16,16,16,16,-0.0104716794433541,14.577178789426158,0.0485368775590816,47.5329933166504,-0.630950689315796,0.0,-0.0003490658425966,0.08,-0.5680947733599585,0.7182391964295611,11.785920216151792,14.57725959456643,-0.0001745329212983
17,17,17,17,-0.0095093753117784,14.577178789426158,0.0485368775590816,47.5329933166504,-0.630950689315796,0.0,0.0003490658425966,0.085,-0.607826090724735,0.7619786233528513,11.818147142625076,14.57725959456643,0.0001745329212983
18,18,18,18,-0.0091210864248449,14.587172508322912,0.0488857087250066,47.5329933166504,-0.630950689315796,0.0,0.0012217304815975,0.09,-0.6479872177283521,0.80554713629866,11.8509602016204,14.587254422957368,0.0006108652407987
19,19,19,19,-0.0066374660847236,14.576829951329444,0.0585307950170638,47.5329933166504,-0.630950689315796,0.0,0.0012217304815975,0.095,-0.6885731437857907,0.8489488930652962,11.884325617165024,14.576947461109288,0.0006108652407987
20,20,20,20,-0.0098147452217561,14.577178789426158,0.0485368775590816,47.5329933166504,-0.630950689315796,0.0,0.0006981316851932,0.1,-0.7295788583120307,0.8921880514510672,11.918210338330637,14.57725959456643,0.0003490658425966
21,21,21,21,-0.0107005354868571,14.577178789426158,0.0485368775590816,47.5329933166504,-0.630950689315796,0.0,0.0003490658425966,0.105,-0.7709993507220524,0.9352687692542814,11.952582043941534,14.57725959456643,0.0001745329212983
22,22,22,22,-0.0090300687334022,14.587521346419626,0.0388917912670244,47.5329933166504,-0.630950689315796,0.0,0.0003490658425966,0.11,-0.812829610430836,0.9781952042732468,11.987409145835889,14.587573191030652,0.0001745329212983
