,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,psidt,vx,vy,lat,long,alpha1,alpha2,time,x,y,v_gps,v,alpha
2000,2000,2000,2000,0.0015040345297101,14.120947628041735,-0.0674487932733625,47.5328369140625,-0.630733907222748,0.0,0.0019198621667907,10.0,-105.56766984370756,93.67836337269304,14.191506091927067,14.121108711911102,0.0009599310833953
2001,2001,2001,2001,0.0056059104021301,14.120947628041735,-0.0674487932733625,47.5328369140625,-0.630733907222748,0.0,0.0019198621667907,10.005,-105.6203911198398,93.72548441246737,14.142030047239864,14.121108711911102,0.0009599310833953
2002,2002,2002,2002,0.0052483529377598,14.130941346938494,-0.0670999621074375,47.5328369140625,-0.630740880966186,0.0,0.0019198621667907,10.01,-105.6731133683239,93.77224221349952,14.093867379226865,14.131100656195564,0.0009599310833953
2003,2003,2003,2003,0.0049194577446216,14.140935065835247,-0.0667511309415126,47.5328369140625,-0.630740880966186,0.0,0.0019198621667907,10.015,-105.72583659527652,93.81864846502484,14.047460754073482,14.141092611593027,0.0009599310833953
2004,2004,2004,2004,0.0046847833183152,14.140935065835247,-0.0667511309415126,47.5328369140625,-0.630740880966186,0.0,0.002443460963195,10.02,-105.77856080681454,93.86471485627878,14.002792415037955,14.141092611593027,0.0012217304815975
2005,2005,2005,2005,0.0034947685105647,14.150928784732002,-0.0664022997755877,47.5328369140625,-0.630740880966186,0.0,0.0031415927784254,10.025,-105.83128600905472,93.91045307649674,13.959844898812994,14.151084578079953,0.0015707963892127
2006,2006,2006,2006,0.0019891017543896,14.140586227738536,-0.0567572134835304,47.5328369140625,-0.630740880966186,0.0,0.0031415927784254,10.03,-105.88401220811376,93.95587481491414,13.918601061992153,14.140700132786607,0.0015707963892127
2007,2007,2007,2007,0.0011911010081697,14.140935065835247,-0.0667511309415126,47.5328369140625,-0.630740880966186,0.0,0.0036651913147553,10.035,-105.9367394101085,94.00099176076638,13.879044107185509,14.141092611593027,0.0018325956573776
2008,2008,2008,2008,0.0015917090957394,14.140935065835247,-0.0667511309415126,47.5328369140625,-0.630740880966186,0.0,0.0036651913147553,10.04,-105.9894676211557,94.0458156032889,13.841157608699008,14.141092611593027,0.0018325956573776
2009,2009,2009,2009,0.0025379007126087,14.140935065835247,-0.0667511309415126,47.5328369140625,-0.630740880966186,0.0,0.0040142573524077,10.045,-106.042196847372,94.09035803171705,13.804925537859816,14.141092611593027,0.0020071286762038
2010,2010,2010,2010,0.0035726693534157,14.140935065835247,-0.0667511309415126,47.5328369140625,-0.630740880966186,0.0,0.00488692192639,10.05,-106.09492709487434,94.13463073528628,13.77033228791082,14.141092611593027,0.002443460963195
2011,2011,2011,2011,0.0052269316558902,14.140935065835247,-0.0667511309415126,47.5328369140625,-0.630740880966186,0.0,0.00488692192639,10.055,-106.1476583697794,94.17864540323198,13.73736269810642,14.141092611593027,0.002443460963195
2012,2012,2012,2012,0.0057881996175568,14.140935065835247,-0.0667511309415126,47.5328407287598,-0.630747973918915,0.0,0.0036651913147553,10.06,-106.20039067820396,94.22241372478958,13.70600207755854,14.141092611593027,0.0018325956573776
2013,2013,2013,2013,0.0033889575314301,14.140935065835247,-0.0667511309415126,47.5328407287598,-0.630747973918915,0.0,0.002792526740773,10.065,-106.25312402626476,94.26594738919452,13.676236228181455,14.141092611593027,0.0013962633703865
2014,2014,2014,2014,0.0032931630548565,14.150928784732002,-0.0664022997755877,47.5328407287598,-0.630747973918915,0.0,0.002792526740773,10.07,-106.30585842007862,94.30925808568216,13.64805146701857,14.151084578079953,0.0013962633703865
2015,2015,2015,2015,0.002196212723488,14.150928784732002,-0.0664022997755877,47.5328407287598,-0.630747973918915,0.0,0.0026179939820212,10.075,-106.35859386576227,94.35235750348792,13.621434647863836,14.151084578079953,0.0013089969910106
2016,2016,2016,2016,0.00103684917039,14.150928784732002,-0.0664022997755877,47.5328407287598,-0.630747973918915,0.0,0.0026179939820212,10.08,-106.41133036943252,94.3952573318472,13.596373182014426,14.151084578079953,0.0013089969910106
2017,2017,2017,2017,0.0003770573496346,14.150928784732002,-0.0664022997755877,47.5328407287598,-0.630747973918915,0.0,0.0022689279443688,10.085,-106.46406793720604,94.43796925999546,13.572855058253683,14.151084578079953,0.0011344639721844
2018,2018,2018,2018,0.0040692336837894,14.150928784732002,-0.0664022997755877,47.5328407287598,-0.630747973918915,0.0,0.002443460963195,10.09,-106.51680657519968,94.48050497716808,13.550868861903751,14.151084578079953,0.0012217304815975
2019,2019,2019,2019,0.006509884023752,14.161271341725469,-0.0760473860676451,47.5328407287598,-0.630747973918915,0.0,0.002443460963195,10.095,-106.56954628953022,94.52287617260043,13.53040379299152,14.161475531133853,0.0012217304815975
2020,2020,2020,2020,0.0033618453031764,14.160922503628756,-0.0660534686096628,47.5328407287598,-0.630747973918915,0.0,0.0029670597595992,10.1,-106.62228708631436,94.565094535528,13.51144968344754,14.161076555632864,0.0014835298797996
2021,2021,2021,2021,0.0016466503170872,14.160922503628756,-0.0660534686096628,47.5328483581543,-0.630754888057709,0.0,0.0031415927784254,10.105,-106.67502897166892,94.60717175518616,13.493997013359971,14.161076555632864,0.0015707963892127
2022,2022,2022,2022,0.0023611172706465,14.150928784732002,-0.0664022997755877,47.5328483581543,-0.630754888057709,0.0,0.0031415927784254,10.11,-106.7277719517106,94.64911952081032,13.478036926108247,14.151084578079953,0.0015707963892127
2023,2023,2023,2023,0.0029769561078219,14.15057994663529,-0.0564083823176055,47.5328483581543,-0.630754888057709,0.0,0.0043633231299858,10.115,-106.78051603255626,94.69094952163589,13.463561242584044,14.15069237640733,0.0021816615649929
2024,2024,2024,2024,0.0021879657666358,14.149882270441864,-0.036420547401641,47.5328483581543,-0.630754888057709,0.0,0.0043633231299858,10.12,-106.83326122032264,94.73267344689827,13.45056247420589,14.149929142000609,0.0021816615649929
