,model,nb_neurones_per_layers,nb_layers,future_temporal_horizon,activation,batchsize,future_delay,smoothing,subsampling_dt,state_configuration,data,data_dt,learning_rate,nb_collocations,seed,transfer_learning,train_on_collocation,ensemble_collocation,early_stopping,nb_epochs,training_name,pretrained_idx,status,training_idx
20,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,20
21,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,21
22,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,22
23,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,23
24,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,24
25,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,25
26,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,26
27,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,27
28,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,28
29,mlp,16,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,29
30,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,30
31,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,31
32,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,32
33,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,33
34,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,34
35,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,35
36,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,36
37,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,37
38,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,38
39,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,39
40,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,40
41,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,41
42,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,42
43,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,43
44,mlp,24,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1.0,0,1500,training_pretrainned_dof2,,,44
45,mlp,8,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,45
46,mlp,8,4,1.0,tanh,512,0.05,0.0,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0.0,1,1500,training_data_based_dof2,,,46
